# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "genomic.gff" "-o" "counts.txt" "-t" "gene" "-g" "ID" "-p" "-B" "SRR22805709.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR22805709.sorted.bam
gene-T240_RS0100005	NZ_AXNK01000001.1	117	755	+	639	414
gene-T240_RS0100010	NZ_AXNK01000001.1	907	1323	+	417	341
gene-T240_RS0100015	NZ_AXNK01000001.1	1578	1817	+	240	31
gene-T240_RS0100020	NZ_AXNK01000002.1	123	569	-	447	148
gene-T240_RS0100025	NZ_AXNK01000002.1	1264	1644	-	381	808
gene-T240_RS0100030	NZ_AXNK01000002.1	1809	2078	-	270	692
gene-T240_RS0100035	NZ_AXNK01000002.1	2071	2325	-	255	1103
gene-T240_RS0100040	NZ_AXNK01000002.1	2544	3666	-	1123	223
gene-T240_RS0100045	NZ_AXNK01000003.1	31	432	+	402	358
gene-T240_RS0100050	NZ_AXNK01000004.1	69	1415	-	1347	4349
gene-T240_RS0100055	NZ_AXNK01000004.1	1968	2222	+	255	9571
gene-T240_RS0100060	NZ_AXNK01000004.1	2249	3175	-	927	1510
gene-T240_RS0100065	NZ_AXNK01000004.1	3182	4597	-	1416	655
gene-T240_RS0100070	NZ_AXNK01000004.1	4607	5419	-	813	287
gene-T240_RS0100075	NZ_AXNK01000004.1	5409	6359	-	951	410
gene-T240_RS0100080	NZ_AXNK01000004.1	6758	7468	+	711	3131
gene-T240_RS0100085	NZ_AXNK01000004.1	7537	9006	+	1470	1358
gene-T240_RS0100090	NZ_AXNK01000004.1	9170	10654	+	1485	1078
gene-T240_RS0100095	NZ_AXNK01000004.1	10638	12221	+	1584	437
gene-T240_RS0100100	NZ_AXNK01000004.1	12467	12847	+	381	395
gene-T240_RS0100105	NZ_AXNK01000004.1	12847	13977	+	1131	1675
gene-T240_RS0100110	NZ_AXNK01000004.1	14315	14863	+	549	548
gene-T240_RS0100115	NZ_AXNK01000004.1	14870	16609	+	1740	955
gene-T240_RS0100120	NZ_AXNK01000004.1	16606	17445	+	840	185
gene-T240_RS0100125	NZ_AXNK01000004.1	17528	18709	-	1182	1106
gene-T240_RS0100130	NZ_AXNK01000004.1	18912	19766	-	855	675
gene-T240_RS0100135	NZ_AXNK01000004.1	19766	20536	-	771	606
gene-T240_RS0100140	NZ_AXNK01000004.1	20932	21432	+	501	125
gene-T240_RS0100145	NZ_AXNK01000004.1	21479	22453	-	975	2189
gene-T240_RS0100150	NZ_AXNK01000004.1	22456	22731	-	276	384
gene-T240_RS0100155	NZ_AXNK01000004.1	22882	23616	+	735	963
gene-T240_RS0100160	NZ_AXNK01000004.1	23740	25368	-	1629	1150
gene-T240_RS0100165	NZ_AXNK01000004.1	25603	27963	-	2361	714
gene-T240_RS0100170	NZ_AXNK01000004.1	28151	28648	+	498	166
gene-T240_RS0100175	NZ_AXNK01000004.1	28738	30369	+	1632	265
gene-T240_RS0100180	NZ_AXNK01000004.1	30606	32639	-	2034	1620
gene-T240_RS0100185	NZ_AXNK01000004.1	32755	33654	-	900	1384
gene-T240_RS0100190	NZ_AXNK01000004.1	33817	35508	+	1692	2525
gene-T240_RS0100195	NZ_AXNK01000004.1	35823	36962	+	1140	1379
gene-T240_RS0100200	NZ_AXNK01000004.1	37056	37403	-	348	1754
gene-T240_RS0100205	NZ_AXNK01000004.1	37663	38760	+	1098	369
gene-T240_RS0100210	NZ_AXNK01000004.1	38844	39560	-	717	99
gene-T240_RS0100215	NZ_AXNK01000004.1	39702	40670	-	969	373
gene-T240_RS0100220	NZ_AXNK01000004.1	40667	43042	-	2376	2868
gene-T240_RS0100225	NZ_AXNK01000004.1	43102	43860	-	759	1373
gene-T240_RS0100230	NZ_AXNK01000004.1	43882	44415	-	534	716
gene-T240_RS0100235	NZ_AXNK01000004.1	44419	44964	-	546	2789
gene-T240_RS0100240	NZ_AXNK01000004.1	45364	46395	-	1032	813
gene-T240_RS0100245	NZ_AXNK01000004.1	46561	47754	-	1194	1650
gene-T240_RS0100250	NZ_AXNK01000004.1	47967	50291	-	2325	749
gene-T240_RS0100255	NZ_AXNK01000004.1	50288	51220	-	933	1535
gene-T240_RS0100260	NZ_AXNK01000004.1	51284	52690	-	1407	3398
gene-T240_RS0100265	NZ_AXNK01000004.1	53236	53751	+	516	9272
gene-T240_RS0100270	NZ_AXNK01000004.1	53779	55152	-	1374	1104
gene-T240_RS0100275	NZ_AXNK01000004.1	55177	55908	-	732	80
gene-T240_RS0100280	NZ_AXNK01000004.1	56097	56792	-	696	68
gene-T240_RS0100285	NZ_AXNK01000004.1	56802	57485	-	684	21
gene-T240_RS0100295	NZ_AXNK01000004.1	57706	58179	+	474	35
gene-T240_RS0100300	NZ_AXNK01000004.1	58257	59186	+	930	853
gene-T240_RS0100305	NZ_AXNK01000004.1	59179	59562	+	384	73
gene-T240_RS0100310	NZ_AXNK01000004.1	59610	61049	-	1440	274
gene-T240_RS0100315	NZ_AXNK01000004.1	61199	61558	-	360	304
